Order,AreaNumb,Taxon,Rel,Hclust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,88,Actinobacteria,0.012906557,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,88,Bacteroidetes,0.132564676,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,88,Cyanobacteria,0.047266678,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,88,Firmicutes,0.019847416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,88,Planctomycetes,0.010784145,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,88,Proteobacteria,0.656341421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,88,Verrucomicrobia,0.098548729,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,88,Other,0.021740378,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,158,Actinobacteria,0.021304376,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,158,Bacteroidetes,0.163471373,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,158,Cyanobacteria,0.013470285,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,158,Firmicutes,0.158052793,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,158,Planctomycetes,0.01451483,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,158,Proteobacteria,0.535982417,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,158,Verrucomicrobia,0.036711423,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,158,Other,0.056492503,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,189,Actinobacteria,0.005339979,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,189,Bacteroidetes,0.10868128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,189,Cyanobacteria,0.002695418,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,189,Firmicutes,0.020749631,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,189,Planctomycetes,0.001118853,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,189,Proteobacteria,0.829374968,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,189,Verrucomicrobia,0.02176677,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,189,Other,0.010273101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245,Actinobacteria,0.014360313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245,Bacteroidetes,0.028720627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245,Cyanobacteria,0.011749347,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245,Firmicutes,0.357049608,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245,Planctomycetes,0.003916449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245,Proteobacteria,0.515013055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245,Verrucomicrobia,0.009138381,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,245,Other,0.06005222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,247,Actinobacteria,0.009508476,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,247,Bacteroidetes,0.474087126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,247,Cyanobacteria,0.001731575,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,247,Firmicutes,0.08108026,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,247,Planctomycetes,0.000151893,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,247,Proteobacteria,0.415881888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,247,Verrucomicrobia,0.002096118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,247,Other,0.015462664,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,251,Actinobacteria,0.014925373,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,251,Bacteroidetes,0.13381369,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,251,Cyanobacteria,0.024360954,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,251,Firmicutes,0.003774232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,251,Planctomycetes,0.003259564,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,251,Proteobacteria,0.751243781,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,251,Verrucomicrobia,0.050094356,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,251,Other,0.01852805,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,253,Actinobacteria,0.016836086,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,253,Bacteroidetes,0.142206692,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
